species_id	scientific_name	common_name			
9999	Taxus canadensis Marshall	Canada yew			
ls	Abies balsamea (L.) Mill.	balsam fir			
60	Acer pensylvanicum L.	striped maple			
3	Acer rubrum L.	red maple			
61	Acer saccharum Marshall var. Saccharum	sugar maple			
97	Betula alleghaniensis Britton	yellow birch			
99	Betula papyrifera Marshall	paper birch			
74	Fraxinus americana L.	white ash			
873	Fraxinus nigra Marshall	black ash			
76	Hamamelis virginiana L.	American witch-hazel			
49	Picea rubens Sarg. 	red spruce			
49	Pinus resinosa Aiton	red pine			
53	Pinus strobus L.	eastern white pine			
1188	Populus grandidentata Michx.	Bigtooth aspen			
26	Populus tremuloides Michx.	Quaking ash			
28	Prunus serotina	black cherry 			
102	Quercus rubra L.	red oak			
93	Tilia americana	American basswood			
56	Tsuga canadensis (L.)	eastern hemlock			
					_
					
					
					
					
					
					
					
